Disease	N	Case/Control Ratio	r^2	P threshold	EffectSize	Power
HF	36788	9.694186047	0.0275	0.01	0.187639484342174	0.200952986516296
HF	36788	9.694186047	0.0275	0.01	0.188639484342174	0.203563023541443
HF	36788	9.694186047	0.0275	0.01	0.189639484342174	0.206193173407398
HF	36788	9.694186047	0.0275	0.01	0.190639484342174	0.208843363830166
HF	36788	9.694186047	0.0275	0.01	0.191639484342174	0.21151351852494
HF	36788	9.694186047	0.0275	0.01	0.192639484342174	0.214203557195489
HF	36788	9.694186047	0.0275	0.01	0.193639484342174	0.216913395524843
HF	36788	9.694186047	0.0275	0.01	0.194639484342174	0.219642945167302
HF	36788	9.694186047	0.0275	0.01	0.195639484342174	0.222392113741763
HF	36788	9.694186047	0.0275	0.01	0.196639484342174	0.225160804826396
HF	36788	9.694186047	0.0275	0.01	0.197639484342174	0.227948917954664
HF	36788	9.694186047	0.0275	0.01	0.198639484342174	0.230756348612714
HF	36788	9.694186047	0.0275	0.01	0.199639484342174	0.233582988238143
HF	36788	9.694186047	0.0275	0.01	0.200639484342174	0.236428724220141
HF	36788	9.694186047	0.0275	0.01	0.201639484342174	0.239293439901039
HF	36788	9.694186047	0.0275	0.01	0.202639484342174	0.242177014579252
HF	36788	9.694186047	0.0275	0.01	0.203639484342174	0.245079323513634
HF	36788	9.694186047	0.0275	0.01	0.204639484342174	0.24800023792926
HF	36788	9.694186047	0.0275	0.01	0.205639484342174	0.250939625024619
HF	36788	9.694186047	0.0275	0.01	0.206639484342174	0.253897347980256
HF	36788	9.694186047	0.0275	0.01	0.207639484342174	0.256873265968837
HF	36788	9.694186047	0.0275	0.01	0.208639484342174	0.259867234166659
HF	36788	9.694186047	0.0275	0.01	0.209639484342174	0.262879103766614
HF	36788	9.694186047	0.0275	0.01	0.210639484342174	0.26590872199259
HF	36788	9.694186047	0.0275	0.01	0.211639484342174	0.268955932115333
HF	36788	9.694186047	0.0275	0.01	0.212639484342174	0.272020573469756
HF	36788	9.694186047	0.0275	0.01	0.213639484342174	0.275102481473705
HF	36788	9.694186047	0.0275	0.01	0.214639484342174	0.278201487648183
HF	36788	9.694186047	0.0275	0.01	0.215639484342174	0.28131741963902
HF	36788	9.694186047	0.0275	0.01	0.216639484342174	0.284450101240005
HF	36788	9.694186047	0.0275	0.01	0.217639484342174	0.287599352417464
HF	36788	9.694186047	0.0275	0.01	0.218639484342174	0.290764989336286
HF	36788	9.694186047	0.0275	0.01	0.219639484342174	0.293946824387397
HF	36788	9.694186047	0.0275	0.01	0.220639484342174	0.297144666216674
HF	36788	9.694186047	0.0275	0.01	0.221639484342174	0.300358319755291
HF	36788	9.694186047	0.0275	0.01	0.222639484342174	0.303587586251504
HF	36788	9.694186047	0.0275	0.01	0.223639484342174	0.306832263303845
HF	36788	9.694186047	0.0275	0.01	0.224639484342174	0.310092144895749
HF	36788	9.694186047	0.0275	0.01	0.225639484342174	0.313367021431574
HF	36788	9.694186047	0.0275	0.01	0.226639484342174	0.316656679774033
HF	36788	9.694186047	0.0275	0.01	0.227639484342174	0.319960903283004
HF	36788	9.694186047	0.0275	0.01	0.228639484342174	0.32327947185573
HF	36788	9.694186047	0.0275	0.01	0.229639484342174	0.326612161968378
HF	36788	9.694186047	0.0275	0.01	0.230639484342174	0.329958746718964
HF	36788	9.694186047	0.0275	0.01	0.231639484342174	0.33331899587161
HF	36788	9.694186047	0.0275	0.01	0.232639484342174	0.336692675902144
HF	36788	9.694186047	0.0275	0.01	0.233639484342174	0.340079550045005
HF	36788	9.694186047	0.0275	0.01	0.234639484342174	0.34347937834146
HF	36788	9.694186047	0.0275	0.01	0.235639484342174	0.346891917689096
HF	36788	9.694186047	0.0275	0.01	0.236639484342174	0.350316921892592
HF	36788	9.694186047	0.0275	0.01	0.237639484342174	0.353754141715737
HF	36788	9.694186047	0.0275	0.01	0.238639484342174	0.357203324934682
HF	36788	9.694186047	0.0275	0.01	0.239639484342174	0.360664216392419
HF	36788	9.694186047	0.0275	0.01	0.240639484342174	0.364136558054439
HF	36788	9.694186047	0.0275	0.01	0.241639484342174	0.367620089065589
HF	36788	9.694186047	0.0275	0.01	0.242639484342174	0.371114545808066
HF	36788	9.694186047	0.0275	0.01	0.243639484342174	0.374619661960564
HF	36788	9.694186047	0.0275	0.01	0.244639484342174	0.378135168558523
HF	36788	9.694186047	0.0275	0.01	0.245639484342174	0.381660794055475
HF	36788	9.694186047	0.0275	0.01	0.246639484342174	0.385196264385459
HF	36788	9.694186047	0.0275	0.01	0.247639484342174	0.388741303026482
HF	36788	9.694186047	0.0275	0.01	0.248639484342174	0.392295631064995
HF	36788	9.694186047	0.0275	0.01	0.249639484342174	0.395858967261369
HF	36788	9.694186047	0.0275	0.01	0.250639484342174	0.399431028116348
HF	36788	9.694186047	0.0275	0.01	0.251639484342174	0.403011527938429
HF	36788	9.694186047	0.0275	0.01	0.252639484342174	0.40660017891218
HF	36788	9.694186047	0.0275	0.01	0.253639484342174	0.410196691167434
